Ticket ID,Epic,Type,Priority,Sprint,Summary,Component,Repo Paths,Depends On,Estimate (SP),Acceptance Criteria,Primary Tests,Owner Role
CFG-102,REGIONAL_CONFIG,Story,P0,S3,Add lock semantics to settings metadata,Config,"apps/siteconfig/models.py;apps/siteconfig/tenant_config.py",CFG-101,5,"Each setting resolves with lock metadata: auto_applied, tenant_editable, compliance_locked, requires_approval","unit: lock resolution tests",Platform Engineer
CFG-103,REGIONAL_CONFIG,Story,P0,S3,Create versioned regional policy packs,Config,"apps/siteconfig/models.py;apps/siteconfig/education_profile_engine.py",CFG-101,8,"US, EU, Brazil, and Low-Connectivity Africa packs can be versioned, applied, and audited","unit: pack versioning; integration: apply pack",Backend Engineer
CFG-104,REGIONAL_CONFIG,Story,P0,S4,Auto-provision tenants from regional packs,Provisioning,"apps/schools/tasks.py;apps/siteconfig/tenant_config.py",CFG-103,5,"New tenants receive baseline modules and locale/compliance defaults from selected pack","integration: tenant provisioning flow",Platform Engineer
CFG-105,REGIONAL_CONFIG,Story,P1,S4,Implement override governance workflow,Config,"apps/siteconfig/models.py;apps/siteconfig/views_feature_control.py",CFG-102,5,"Locked controls reject direct edits; exception workflow captures approval and audit trail","integration: override approval tests",Backend Engineer
CFG-106,REGIONAL_CONFIG,Story,P1,S4,Harden dynamic custom field definitions,Config,"apps/siteconfig/tenant_config.py;apps/people/models.py",CFG-101,3,"Tenant-defined custom fields validate type/schema and render safely in UI/API responses","unit: field definition validator",Backend Engineer
CFG-107,REGIONAL_CONFIG,Story,P1,S4,Implement canonical polymorphic person identity,Identity,"apps/accounts/models.py;apps/people/models.py",,8,"Single canonical person can hold student/parent/teacher/alumni roles without profile fragmentation","integration: multi-role identity tests",Platform Engineer
CFG-108,REGIONAL_CONFIG,Story,P1,S4,Enforce data residency routing policy,Platform,"config/settings.py;apps/siteconfig/context_processors.py;apps/schools/health_utils.py",CFG-103,5,"Tenant region residency policy is enforced and visible in diagnostics","integration: residency policy tests",Platform Engineer
INT-201,INTEROP_IDENTITY,Story,P0,S2,Implement SCIM 2.0 user lifecycle endpoints,Interop,"apps/api/scim_views.py;apps/api/urls.py",P0-011,8,"Create, update, deactivate, and group membership flows operate tenant-safely","integration: SCIM conformance subset",Platform Engineer
INT-202,INTEROP_IDENTITY,Story,P0,S2,Implement OIDC enterprise SSO,Identity,"apps/accounts/views.py;apps/siteconfig/models.py",P0-011,8,"District IdP sign-in works with mapped roles and tenant scoping","integration: OIDC login + callback",Platform Engineer
INT-203,INTEROP_IDENTITY,Story,P1,S3,Implement SAML SSO option,Identity,"apps/accounts;apps/siteconfig/models.py",INT-202,5,"SAML metadata exchange and login flow supported for enterprise tenants","integration: SAML login flow",Platform Engineer
INT-204,INTEROP_IDENTITY,Story,P0,S3,Implement OneRoster roster APIs,Interop,"apps/api/oneroster_views.py;apps/api/urls.py",P0-003,8,"Core roster entities support authenticated sync with pagination and audit","integration: roster sync tests",Platform Engineer
INT-205,INTEROP_IDENTITY,Story,P0,S3,Complete LTI AGS/NRPS and deep linking,Interop,"apps/schools/section8_views.py;apps/siteconfig/models.py",P0-004,8,"Grades, membership, and deep-linking work for active tools with tenant isolation","integration: AGS/NRPS tests",Platform Engineer
INT-206,INTEROP_IDENTITY,Story,P1,S4,Implement reliable outbound webhooks,Interop,"apps/siteconfig/models.py;apps/siteconfig/tasks.py",P0-011,5,"Signed payload delivery supports exponential backoff, retry ledger, and dead-letter queue","integration: webhook retry tests",Platform Engineer
EDU-301,ACADEMICS_SOLVER,Story,P1,S5,Replace simplified degree audit with prerequisite DAG solver,Academics,"apps/academics/degree_audit.py;apps/academics/models.py",CFG-101,8,"Required courses, waivers, prereqs, and credits resolve correctly for complex programs","unit: solver scenarios; integration: degree audit endpoint",Academic Engineer
EDU-302,ACADEMICS_SOLVER,Story,P1,S5,Implement transfer equivalency mapping workflow,Academics,"apps/academics/models.py;apps/academics/services.py",EDU-301,5,"External coursework maps to internal requirements with review and approval state","integration: transfer-credit flow",Academic Engineer
EDU-303,ACADEMICS_SOLVER,Story,P1,S5,Add graduate milestone rule engine,Academics,"apps/academics/models.py;apps/academics/views.py",EDU-301,5,"Committee composition, proposal/defense gates, and sign-offs are enforceable","integration: graduate milestone workflow",Academic Engineer
EDU-304,ACADEMICS_SOLVER,Story,P2,S5,Add thesis embargo management controls,Academics,"apps/academics/models.py;apps/reports/services.py",EDU-303,3,"Thesis artifacts can be embargoed for defined windows with access restrictions","integration: embargo access tests",Academic Engineer
FIN-401,FINANCE_GLOBAL,Story,P1,S5,Enforce balanced double-entry for aid flows,Finance,"apps/finance/models.py;apps/finance/aid_services.py",P0-009,8,"Aid and scholarship disbursement always posts debit and credit entries; imbalance blocked","unit: journal balance tests",Finance Engineer
FIN-402,FINANCE_GLOBAL,Story,P1,S5,Implement multi-currency transaction snapshots,Finance,"apps/finance/models.py;apps/finance/services.py",FIN-401,5,"Each transaction persists fx_rate, source currency, settlement currency, and reporting currency values","integration: multi-currency settlement tests",Finance Engineer
FIN-403,FINANCE_GLOBAL,Story,P1,S5,Implement configurable regional tax engine,Finance,"apps/finance/models.py;apps/finance/views.py;apps/payroll/services.py",CFG-103,5,"Tax behavior changes by region profile with explicit override controls and audit","unit: tax rule matrix",Finance Engineer
FIN-404,FINANCE_GLOBAL,Story,P1,S5,Implement split billing multi-payer obligations,Finance,"apps/finance/models.py;apps/finance/views.py",FIN-401,8,"Multiple guardians can hold separate obligations, reminders, penalties, and receipts","integration: split-billing lifecycle tests",Finance Engineer
FIN-405,FINANCE_GLOBAL,Story,P2,S5,Implement endowment liquidity forecast,Finance,"apps/finance/aid_services.py;apps/finance/reports.py",FIN-401,3,"Forecast report projects 3-4 year liquidity from commitments and enrollment assumptions","unit: forecast math tests",Finance Engineer
AI-501,AI_SOVEREIGN_SECURITY,Story,P1,S6,Introduce AI provider abstraction with offline option,AI,"apps/siteconfig/services/ai_logic.py;apps/portal/views_ai_copilot.py",,8,"Provider layer supports local inference and cloud inference selection per tenant policy","integration: provider failover tests",AI Engineer
AI-502,AI_SOVEREIGN_SECURITY,Story,P1,S6,Implement circuit breaker and safe fallback mode,AI,"apps/siteconfig/services/ai_logic.py;apps/portal/views_ai_copilot.py",AI-501,5,"If provider unavailable, deterministic rules mode engages and high-priority alert is emitted","integration: outage simulation tests",AI Engineer
AI-503,AI_SOVEREIGN_SECURITY,Story,P1,S6,Enforce strict prompt isolation and output schema validation,AI,"apps/portal/views_ai_copilot.py;apps/siteconfig/nuance_engine.py",AI-501,5,"User input cannot override policy instructions; output must validate against declared schema","security: prompt injection test suite",AI Engineer
SEC-601,PLATFORM_GUARDRAILS,Story,P0,S6,Build automated IDOR regression suite,Security,"apps/*/tests",CFG-101|INT-201,8,"Cross-tenant object id tampering cannot expose records across all protected endpoints","security: IDOR matrix tests",Security Engineer
SEC-602,PLATFORM_GUARDRAILS,Story,P0,S6,Build RLS and search_path invariant tests,Security,"apps/schools/middleware.py;apps/*/migrations",CFG-101,5,"All request paths set tenant context correctly and DB policies prevent leakage","security: RLS invariant suite",Security Engineer
SEC-603,PLATFORM_GUARDRAILS,Story,P1,S6,Implement transcript/document hash verification ledger,Reports,"apps/reports/models.py;apps/reports/services.py",,5,"Generated transcript hashes are persisted and independently verifiable","integration: transcript verify endpoint",Reports Engineer
SEC-604,PLATFORM_GUARDRAILS,Story,P1,S6,Standardize soft-delete enforcement,Data Integrity,"apps/people/models.py;apps/finance/models.py;apps/evals/models.py",,5,"Delete operations honor consistent soft-delete policy and legal retention expectations","unit: soft-delete manager tests",Backend Engineer
SEC-605,PLATFORM_GUARDRAILS,Story,P1,S6,Expand public endpoint throttling coverage,Security,"apps/api;apps/compliance/views_ratelimit.py",P0-007,3,"Every unauthenticated write endpoint has explicit throttle policy with 429 behavior tests","integration: throttle coverage tests",Security Engineer
SEC-606,PLATFORM_GUARDRAILS,Story,P1,S6,Add webhook replay and tamper detection tests,Security,"apps/finance/security.py;apps/finance/views.py;apps/siteconfig/models.py",P0-005|P0-006|INT-206,3,"Replay, timestamp skew, and signature tamper attempts are rejected with audit signal","security: webhook adversarial tests",Security Engineer
SEC-607,PLATFORM_GUARDRAILS,Task,P1,S6,Establish compliance evidence export pack,Compliance,"docs/execution;apps/compliance",P0-001|P0-002|CFG-103,3,"Audit artifacts for DSAR, retention, and policy locks export in a regulator-ready bundle","manual: compliance evidence checklist",Compliance Lead
SEC-608,PLATFORM_GUARDRAILS,Task,P1,S6,Define go-live operational SLO dashboard,Observability,"apps/observability;docs/execution",SEC-601|SEC-602,3,"Latency, error budget, webhook success, and sync conflict SLOs visible per tenant region","integration: monitoring endpoint checks",SRE
